split_idx,mode,text_dir,text_graph_feature,train_size,test_size,acc,auc,exp_dir
12,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\KIRC,node_features,360,139,0.7625899314880371,0.8490566037735848,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\hierarchy_graph\split_12
13,sentence_pt,D:\Tasks\Text_Sentence_extract_features\KIRC_text,node_features,360,139,0.7625899314880371,0.8736287845546293,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_13
13,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\KIRC,node_features,360,139,0.5827338099479675,0.813295304958315,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\hierarchy_graph\split_13
14,sentence_pt,D:\Tasks\Text_Sentence_extract_features\KIRC_text,node_features,360,139,0.7913669347763062,0.8510311540149188,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_14
14,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\KIRC,node_features,360,139,0.7625899314880371,0.8499341816586222,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\hierarchy_graph\split_14
15,sentence_pt,D:\Tasks\Text_Sentence_extract_features\KIRC_text,node_features,360,139,0.8273381590843201,0.8624396665204037,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_15
15,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\KIRC,node_features,360,139,0.769784152507782,0.8181219833260202,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\hierarchy_graph\split_15
16,sentence_pt,D:\Tasks\Text_Sentence_extract_features\KIRC_text,node_features,360,139,0.7913669347763062,0.868802106186924,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_16
16,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\KIRC,node_features,360,139,0.769784152507782,0.8543220710838086,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\hierarchy_graph\split_16
17,sentence_pt,D:\Tasks\Text_Sentence_extract_features\KIRC_text,node_features,360,139,0.7913669347763062,0.8587099605089952,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_17
17,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\KIRC,node_features,360,139,0.6978417038917542,0.8203159280386134,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\hierarchy_graph\split_17
18,sentence_pt,D:\Tasks\Text_Sentence_extract_features\KIRC_text,node_features,360,139,0.8057553768157959,0.8503729706011408,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_18
18,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\KIRC,node_features,360,139,0.7122302055358887,0.807810443176832,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\hierarchy_graph\split_18
19,sentence_pt,D:\Tasks\Text_Sentence_extract_features\KIRC_text,node_features,360,139,0.7482014298439026,0.8635366388767003,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_19
19,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\KIRC,node_features,360,139,0.7769784331321716,0.846423870118473,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\hierarchy_graph\split_19
